#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","PV11","SAMN20805030","PRJNA754786","GCA_022290975.1","Scaffold",5.06353,45.4,,"JAKNNZ01",146,4575,"2022-02-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/290/975/GCA_022290975.1_ASM2229097v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/290/975/GCF_022290975.1_ASM2229097v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","17-VB00129","SAMN16057396","PRJNA661412","GCA_020740955.1","Contig",5.49684,45.2,,"JACVHK01",105,5055,"2021-11-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/740/955/GCA_020740955.1_ASM2074095v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/740/955/GCF_020740955.1_ASM2074095v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","ISF-188-12","SAMN28767337","PRJNA843723","GCA_024745875.1","Contig",5.23165,45.2,,"JANFTJ01",92,4757,"2022-08-26T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/745/875/GCF_024745875.1_ASM2474587v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","GCSL_R125","SAMN02368265","PRJNA273159","GCA_001727045.1","Contig",5.07846,45.2,,"MISC01",150,4474,"2016-09-15T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/727/045/GCF_001727045.1_ASM172704v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","PV221","SAMN20805033","PRJNA754786","GCA_022290675.1","Scaffold",5.0597,45.3,,"JAKNOF01",110,4631,"2022-02-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/290/675/GCA_022290675.1_ASM2229067v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/290/675/GCF_022290675.1_ASM2229067v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","E4_9","SAMN07338107","PRJNA393608","GCA_006371545.1","Contig",5.04918,45.3,,"NNHD01",133,4617,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/371/545/GCF_006371545.1_ASM637154v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","VP23/1","SAMN29790247","PRJNA859558","GCA_026538085.1","Scaffold",5.65054,44.5,,"JANFKO01",136,5110,"2022-11-30T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/538/085/GCF_026538085.1_ASM2653808v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","GCSL_R138","SAMN02368273","PRJNA273159","GCA_001727205.1","Contig",5.10884,45.3,,"MISJ01",148,4520,"2016-09-15T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/727/205/GCF_001727205.1_ASM172720v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","GCSL_R145","SAMN02368275","PRJNA273159","GCA_001727295.1","Contig",5.07494,45.2,,"MISM01",156,4543,"2016-09-15T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/727/295/GCF_001727295.1_ASM172729v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","C4_7","SAMN07338001","PRJNA393608","GCA_006374075.1","Contig",5.28698,45.3,,"NNLF01",161,4830,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/374/075/GCF_006374075.1_ASM637407v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","PV112","SAMN20805029","PRJNA754786","GCA_022290955.1","Scaffold",5.61968,45.5,,"JAKNNY01",551,5246,"2022-02-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/290/955/GCA_022290955.1_ASM2229095v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/290/955/GCF_022290955.1_ASM2229095v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","10-4251","SAMN03349609","PRJNA275536","GCA_001006105.1","Scaffold",5.21917,45.1,,"JYJS01",155,4627,"2015-05-12T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/006/105/GCF_001006105.1_ASM100610v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","CFSAN018774","SAMN03945145","PRJNA245882","GCA_002198515.1","Contig",5.10951,45.3,,"LHRO01",86,4603,"2017-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/198/515/GCF_002198515.1_ASM219851v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","ICDC-VP1329","SAMN10761833","PRJNA515151","GCA_004028465.1","Contig",5.20762,45.3,,"SCLW01",153,4721,"2019-01-17T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/028/465/GCF_004028465.1_ASM402846v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","18-VB00011","SAMN17385136","PRJNA693325","GCA_022802125.1","Contig",5.30306,45.4,,"JAESOW01",107,4719,"2022-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/802/125/GCA_022802125.1_ASM2280212v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/802/125/GCF_022802125.1_ASM2280212v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","C5_7","SAMN07338011","PRJNA393608","GCA_006373545.1","Contig",5.09412,45.3,,"NNKV01",140,4570,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/373/545/GCF_006373545.1_ASM637354v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","C5_1","SAMN07338004","PRJNA393608","GCA_006373995.1","Contig",5.03829,45.3,,"NNLC01",157,4512,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/373/995/GCF_006373995.1_ASM637399v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","ISF-4-2","SAMN28767292","PRJNA843723","GCA_024746775.1","Contig",5.0313,45.4,,"JANFVC01",74,4571,"2022-08-26T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/746/775/GCF_024746775.1_ASM2474677v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","A2_4","SAMN07337854","PRJNA393608","GCA_006378955.1","Contig",5.02079,45.4,,"NNQW01",173,4583,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/378/955/GCF_006378955.1_ASM637895v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","F4_5","SAMN07338159","PRJNA393608","GCA_006369085.1","Contig",5.37939,45.3,,"NNFD01",153,4839,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/369/085/GCF_006369085.1_ASM636908v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","249-15","SAMN12364841","PRJNA556706","GCA_009991745.1","Contig",5.24462,45.3,,"VTGN01",69,4606,"2020-01-29T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/991/745/GCF_009991745.1_ASM999174v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","PV213","SAMN20805032","PRJNA754786","GCA_022290755.1","Scaffold",5.31345,45.2,,"JAKNOE01",276,4762,"2022-02-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/290/755/GCA_022290755.1_ASM2229075v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/290/755/GCF_022290755.1_ASM2229075v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","G1_10","SAMN07338211","PRJNA393608","GCA_006368725.1","Contig",5.1451,45.3,,"NNDD01",143,4588,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/368/725/GCF_006368725.1_ASM636872v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","CFSAN029654","SAMN04145933","PRJNA245882","GCA_001633955.1","Contig",5.12659,45.2,,"LKQS01",104,4515,"2016-04-28T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/633/955/GCF_001633955.1_ASM163395v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","L70","SAMN05890675","PRJNA347505","GCA_003408895.1","Contig",5.10732,45.3,,"MRBV01",92,4578,"2018-08-20T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/408/895/GCF_003408895.1_ASM340889v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","C6_10","SAMN07338015","PRJNA393608","GCA_006373495.1","Contig",5.10203,45.2,,"NNKR01",188,4662,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/373/495/GCF_006373495.1_ASM637349v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","B1_6","SAMN07337885","PRJNA393608","GCA_006377405.1","Contig",5.12015,45.2,,"NNPR01",192,4639,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/377/405/GCF_006377405.1_ASM637740v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","G1_5","SAMN07338215","PRJNA393608","GCA_006368335.1","Contig",5.0777,45.3,,"NNCZ01",154,4511,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/368/335/GCF_006368335.1_ASM636833v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","CDC_K5067","SAMN02368303","PRJNA273159","GCA_001728255.1","Contig",5.02858,45.3,,"MITS01",143,4453,"2016-09-15T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/728/255/GCF_001728255.1_ASM172825v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","G1_3","SAMN07338213","PRJNA393608","GCA_006368505.1","Contig",5.07623,45.3,,"NNDB01",156,4521,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/368/505/GCF_006368505.1_ASM636850v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","MAVP398","SAMN07291586","PRJNA263814","GCA_002807115.1","Contig",5.0892,45.4,,"NMPQ01",76,4478,"2017-12-04T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/807/115/GCF_002807115.1_ASM280711v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","NA6","SAMN08329238","PRJNA429067","GCA_002880495.1","Contig",5.47163,45.2,,"POBU01",103,4899,"2018-01-15T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/880/495/GCF_002880495.1_ASM288049v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","ISF-199-7","SAMN28767347","PRJNA843723","GCA_024745655.1","Contig",5.34047,45.3,,"JANFSZ01",101,4886,"2022-08-26T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/745/655/GCF_024745655.1_ASM2474565v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","C148","SAMN04358200","PRJNA304021","GCA_001609475.1","Scaffold",5.06537,45.3,,"LPVN01",80,4491,"2016-04-04T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/609/475/GCF_001609475.1_ASM160947v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","CFSAN029656","SAMN04145934","PRJNA245882","GCA_001634035.1","Contig",5.12703,45.2,,"LKQT01",80,4512,"2016-04-28T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/634/035/GCF_001634035.1_ASM163403v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","CFSAN018752","SAMN03941060","PRJNA245882","GCA_001695955.1","Contig",5.13851,45.2,,"LHAU01",66,4540,"2016-07-28T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/695/955/GCF_001695955.1_ASM169595v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","4","SAMEA110176651","PRJEB53801","GCA_945952135.1","Scaffold",5.99178,45,,"CAMFHK01",439,0,"2022-11-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/945/952/135/GCA_945952135.1_BA095_assembly","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/945/952/135/GCF_945952135.1_BA095_assembly"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","HZ17-118","SAMN11547061","PRJNA540575","GCA_009390325.1","Contig",5.07888,45.2,,"SZRW01",120,4460,"2019-10-29T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/390/325/GCF_009390325.1_ASM939032v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","GCSL_R137","SAMN02368272","PRJNA273159","GCA_001727195.1","Contig",5.10738,45.3,,"MISI01",127,4515,"2016-09-15T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/727/195/GCF_001727195.1_ASM172719v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","F4_8","SAMN07338162","PRJNA393608","GCA_006369375.1","Contig",5.03069,45.4,,"NNFA01",131,4500,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/369/375/GCF_006369375.1_ASM636937v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","F8_1","SAMN07338190","PRJNA393608","GCA_006369285.1","Contig",4.93793,45.4,,"NNDY01",133,4458,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/369/285/GCF_006369285.1_ASM636928v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","CDC_K5324W","SAMN02368319","PRJNA273159","GCA_001727405.1","Contig",5.06013,45.4,,"MIUI01",174,4521,"2016-09-15T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/727/405/GCF_001727405.1_ASM172740v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","F5_5","SAMN07338168","PRJNA393608","GCA_006368955.1","Contig",4.97384,45.4,,"NNEU01",132,4455,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/368/955/GCF_006368955.1_ASM636895v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","PMA3.15","SAMN05858283","PRJNA345109","GCA_002018555.1","Contig",5.03515,45.3,,"MKQU01",80,4416,"2017-03-06T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/018/555/GCF_002018555.1_ASM201855v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","HZ17-129","SAMN11547063","PRJNA540575","GCA_009390295.1","Contig",5.06161,45.4,,"SZRU01",110,4421,"2019-10-29T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/390/295/GCF_009390295.1_ASM939029v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","HS-6-3","SAMN28494982","PRJNA772001","GCA_024747795.1","Contig",5.03561,45.4,,"JAMQAC01",79,4496,"2022-08-26T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/747/795/GCF_024747795.1_ASM2474779v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","HZ13-113","SAMN11547025","PRJNA540575","GCA_009391045.1","Contig",5.08001,45.3,,"SZTG01",108,4450,"2019-10-29T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/391/045/GCF_009391045.1_ASM939104v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","CAIM 1772","SAMN05386387","PRJNA328962","GCA_001856105.1","Contig",5.15191,45.3,,"MBFI01",193,4689,"2016-10-28T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/856/105/GCF_001856105.1_ASM185610v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","A2_5","SAMN07337855","PRJNA393608","GCA_006378615.1","Contig",5.12383,45.2,,"NNQV01",185,4626,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/378/615/GCF_006378615.1_ASM637861v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","CFSAN001616","SAMN02741353","PRJNA245882","GCA_002072845.1","Contig",5.13701,45.2,,"LHPE01",102,4617,"2017-03-28T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/072/845/GCF_002072845.1_W90A-a"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","B8_2","SAMN07337953","PRJNA393608","GCA_006374675.1","Contig",5.05337,45.3,,"NNNB01",141,4535,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/374/675/GCF_006374675.1_ASM637467v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","D3_2","SAMN07338049","PRJNA393608","GCA_006372785.1","Contig",5.02996,45.3,,"NNJJ01",125,4570,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/372/785/GCF_006372785.1_ASM637278v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","HS-61-11C","SAMN28495043","PRJNA772001","GCA_024747105.1","Contig",5.08547,45.3,,"JAMPYW01",87,4594,"2022-08-26T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/747/105/GCF_024747105.1_ASM2474710v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","MVP2","SAMN06066407","PRJNA355206","GCA_002013995.1","Contig",5.27518,45.4,,"MSBY01",89,4731,"2017-03-03T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/013/995/GCF_002013995.1_ASM201399v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","ISF-332-2","SAMN28767383","PRJNA843723","GCA_024745005.1","Contig",5.08836,45.4,,"JANFRP01",93,4609,"2022-08-26T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/745/005/GCF_024745005.1_ASM2474500v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","HZ18-031","SAMN11547085","PRJNA540575","GCA_009389905.1","Contig",5.04853,45.4,,"SZQY01",120,4416,"2019-10-29T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/389/905/GCF_009389905.1_ASM938990v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","D7_7","SAMN07338077","PRJNA393608","GCA_006372085.1","Contig",4.94344,45.3,,"NNIH01",214,4510,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/372/085/GCF_006372085.1_ASM637208v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","D5_4","SAMN07338060","PRJNA393608","GCA_006372575.1","Contig",4.94898,45.4,,"NNIY01",175,4460,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/372/575/GCF_006372575.1_ASM637257v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","ISF-199-2","SAMN28767342","PRJNA843723","GCA_024745755.1","Contig",5.06294,45.4,,"JANFTE01",98,4502,"2022-08-26T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/745/755/GCF_024745755.1_ASM2474575v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","D1_4","SAMN07338041","PRJNA393608","GCA_006372945.1","Contig",5.06254,45.3,,"NNJR01",166,4600,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/372/945/GCF_006372945.1_ASM637294v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","MAVP-A","SAMN05578009","PRJNA263814","GCA_002209595.1","Contig",5.26579,45.1,,"MDWP01",115,4802,"2017-06-27T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/209/595/GCF_002209595.1_ASM220959v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","B2_10","SAMN07337898","PRJNA393608","GCA_006376775.1","Contig",4.96089,45.3,,"NNPE01",119,4457,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/775/GCF_006376775.1_ASM637677v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","PV156","SAMN20805031","PRJNA754786","GCA_022290935.1","Scaffold",5.05578,45.4,,"JAKNOA01",223,4662,"2022-02-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/290/935/GCA_022290935.1_ASM2229093v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/290/935/GCF_022290935.1_ASM2229093v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","F2_9","SAMN07338143","PRJNA393608","GCA_006370655.1","Contig",5.05894,45.3,,"NNFT01",194,4500,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/370/655/GCF_006370655.1_ASM637065v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","146-15","SAMN12364844","PRJNA556706","GCA_009991725.1","Contig",5.23987,45.2,,"VTGK01",109,4623,"2020-01-29T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/991/725/GCF_009991725.1_ASM999172v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","ISF-56-8","SAMN28767310","PRJNA843723","GCA_024746425.1","Contig",5.05989,45.4,,"JANFUK01",110,4593,"2022-08-26T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/746/425/GCF_024746425.1_ASM2474642v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","B2_2","SAMN07337899","PRJNA393608","GCA_006377005.1","Contig",5.15118,45.2,,"NNPD01",189,4731,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/377/005/GCF_006377005.1_ASM637700v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","HS-92-7","SAMN28495060","PRJNA772001","GCA_024746885.1","Contig",5.87299,44.1,,"JAMPYJ01",114,5563,"2022-08-26T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/746/885/GCF_024746885.1_ASM2474688v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","HZ17-265","SAMN11547080","PRJNA540575","GCA_009389975.1","Contig",5.06883,45.3,,"SZRD01",122,4440,"2019-10-29T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/389/975/GCF_009389975.1_ASM938997v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","HZ17-162","SAMN11547067","PRJNA540575","GCA_009390215.1","Contig",5.0586,45.3,,"SZRQ01",130,4438,"2019-10-29T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/390/215/GCF_009390215.1_ASM939021v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","CFSAN001174","SAMN03941067","PRJNA245882","GCA_001696115.1","Contig",5.14844,45.2,,"LHBB01",88,4597,"2016-07-28T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/696/115/GCF_001696115.1_ASM169611v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","D7_2","SAMN07338073","PRJNA393608","GCA_006372165.1","Contig",5.11752,45.3,,"NNIL01",253,4668,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/372/165/GCF_006372165.1_ASM637216v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","B9_8","SAMN07337969","PRJNA393608","GCA_006374805.1","Contig",5.18226,45.4,,"NNML01",135,4744,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/374/805/GCF_006374805.1_ASM637480v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","ISF-270-13","SAMN28767378","PRJNA843723","GCA_024745055.1","Contig",5.19229,45.2,,"JANFRU01",135,4702,"2022-08-26T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/745/055/GCF_024745055.1_ASM2474505v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","CDC_K5324G","SAMN02368318","PRJNA273159","GCA_001727395.1","Contig",5.27231,45.2,,"MIUH01",294,4779,"2016-09-15T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/727/395/GCF_001727395.1_ASM172739v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","B5_4","SAMN07337930","PRJNA393608","GCA_006375335.1","Contig",5.11134,45.4,,"NNNY01",260,4663,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/375/335/GCF_006375335.1_ASM637533v1"
